Time,Sensor1,Sensor2
1.5244367122650146,339.00,304.00
1.619668960571289,334.00,306.00
1.7168223857879639,334.00,307.00
1.8271589279174805,334.00,309.00
1.9198222160339355,333.00,310.00
2.006458282470703,332.00,311.00
2.126497507095337,332.00,312.00
2.226381540298462,331.00,312.00
2.3105618953704834,331.00,311.00
2.43237042427063,329.00,312.00
2.5270159244537354,328.00,312.00
2.627300262451172,326.00,310.00
2.730186700820923,324.00,309.00
2.833824396133423,322.00,309.00
2.9311654567718506,321.00,309.00
3.027981758117676,321.00,308.00
3.127915620803833,320.00,309.00
3.2316462993621826,320.00,309.00
3.3336217403411865,320.00,309.00
3.4323456287384033,320.00,308.00
3.538764476776123,319.00,309.00
3.634370803833008,319.00,308.00
3.7440521717071533,319.00,308.00
3.83176326751709,318.00,308.00
3.928499937057495,318.00,308.00
4.041654109954834,317.00,307.00
4.137843370437622,316.00,307.00
4.243332386016846,316.00,306.00
4.3568291664123535,316.00,306.00
4.4521543979644775,315.00,306.00
4.540728807449341,317.00,307.00
4.648587942123413,317.00,307.00
4.7437708377838135,317.00,307.00
4.853805065155029,317.00,308.00
4.954273223876953,318.00,308.00
5.047129154205322,320.00,309.00
5.1534950733184814,323.00,310.00
5.251832723617554,324.00,310.00
5.355055332183838,324.00,309.00
5.456560134887695,324.00,309.00
5.557722806930542,324.00,309.00
5.669188499450684,323.00,309.00
5.7558300495147705,324.00,309.00
5.861603021621704,323.00,309.00
5.961110591888428,323.00,308.00
6.0546348094940186,323.00,309.00
6.152129650115967,322.00,309.00
6.264600038528442,322.00,309.00
6.3660876750946045,322.00,309.00
6.462987661361694,321.00,308.00
6.570334434509277,320.00,308.00
6.677098989486694,320.00,308.00
6.771501064300537,320.00,307.00
6.87506628036499,319.00,306.00
6.9783525466918945,318.00,306.00
7.077494382858276,316.00,305.00
7.188656806945801,316.00,305.00
7.285605430603027,315.00,305.00
7.382115125656128,315.00,304.00
7.493948936462402,315.00,305.00
7.601469278335571,315.00,305.00
7.68360710144043,316.00,305.00
7.780786037445068,316.00,306.00
7.890789270401001,317.00,306.00
7.988223075866699,317.00,306.00
8.085132122039795,317.00,307.00
8.19632625579834,317.00,307.00
8.293678522109985,317.00,306.00
8.389482259750366,317.00,306.00
8.502460479736328,316.00,305.00
8.598374843597412,316.00,305.00
8.690534591674805,315.00,305.00
8.79226303100586,315.00,305.00
