Timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8
1.79,11.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.04,78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.59,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.84,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.37,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.90,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.45,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.70,207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.23,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.76,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.03,246.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.56,244.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.09,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.62,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.89,254.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.42,211.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.95,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.22,207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
