0.00,0,197,196,193
0.27,192,197,196,193
0.54,196,193,196,195
0.80,97,196,193,197
1.07,6,197,196,194
1.33,0,197,196,193
1.60,0,193,196,195
1.86,194,191,195,194
2.13,196,195,192,196
2.40,95,196,195,192
2.66,0,196,195,192
2.93,0,192,197,196
3.18,0,195,193,196
3.46,196,195,192,196
3.73,196,196,196,193
3.98,2,197,196,193
4.26,0,193,196,195
4.51,0,195,192,197
4.79,0,197,196,193
5.04,196,197,196,193
5.31,93,196,196,193
5.58,5,192,197,196
5.84,0,196,193,196
6.11,0,196,195,192
6.37,196,197,196,192
6.64,192,197,196,193
6.90,95,192,196,196
7.17,6,195,192,196
7.44,0,197,196,193
7.70,0,197,196,193
7.97,193,196,195,192
8.23,196,193,197,196
8.50,97,196,193,197
8.76,6,196,195,192
9.03,0,197,196,193
9.30,0,192,196,195
9.55,196,193,196,196
9.83,196,196,193,197
10.08,96,197,196,193
10.36,0,196,195,193
10.61,0,193,197,196
10.88,0,196,193,197
11.16,197,196,193,196
11.41,196,197,195,193
11.68,3,196,195,193
11.94,0,193,197,196
12.21,0,196,193,196
12.47,0,197,196,193
12.74,195,196,195,192
13.01,93,197,196,194
13.27,6,193,196,195
13.54,0,195,192,197
13.80,0,196,195,192
14.07,195,196,195,193
14.34,192,196,195,192
14.60,95,192,196,195
14.87,7,196,193,196
15.12,0,197,195,193
15.40,0,196,195,192
15.65,193,197,196,193
15.93,196,193,196,195
16.20,96,196,193,197
16.45,5,196,195,193
16.73,0,196,195,192
16.98,0,193,195,194
17.25,195,193,197,196
17.51,197,196,193,196
17.78,96,197,196,193
18.05,0,196,195,192
18.31,0,193,196,195
18.58,0,196,193,196
18.84,197,196,193,196
19.11,195,196,195,192
19.37,3,197,196,194
19.64,0,193,196,196
19.91,0,196,193,197
20.17,0,197,196,193
20.44,196,196,195,193
20.70,93,197,196,192
20.97,6,193,197,196
21.22,0,196,193,196
21.50,0,197,196,193
21.77,196,196,195,192
22.02,192,196,196,193
22.30,96,193,196,195
22.55,8,197,194,197
22.82,0,196,195,193
23.08,0,196,195,192
23.35,193,197,196,193
23.62,196,193,197,196
23.88,96,196,193,196
24.15,6,197,196,194
24.41,0,196,195,192
24.68,0,193,197,196
24.95,196,193,196,196
25.21,197,196,193,197
25.48,95,196,195,193
25.74,0,196,196,193
26.01,0,193,197,196
26.27,0,196,193,197
26.54,196,195,192,197
26.81,196,197,196,193
27.07,3,196,195,192
27.34,0,193,197,196
