0.00,91,190,195,188
0.27,0,189,193,191
0.54,0,166,186,190
0.80,0,194,175,182
1.07,181,193,180,182
1.33,183,182,190,179
1.60,0,184,187,179
1.86,0,178,184,186
2.13,0,189,181,184
2.40,0,186,190,184
2.66,189,185,191,186
2.93,80,186,193,181
3.18,9,175,184,186
3.46,0,183,171,185
3.73,0,181,157,166
3.98,182,180,211,184
4.26,193,183,191,194
4.51,94,194,184,196
4.79,8,199,187,188
5.04,0,184,191,177
5.31,0,179,182,174
5.58,168,180,172,170
5.84,201,189,182,203
6.11,85,185,187,185
6.37,1,187,193,186
6.64,0,187,198,183
6.90,0,182,186,195
7.17,191,184,189,192
7.44,186,202,185,186
7.70,94,188,190,193
7.97,0,190,192,191
8.23,0,184,190,200
8.50,0,193,183,189
8.75,187,197,183,186
9.03,189,184,206,190
9.30,8,187,189,186
9.55,0,187,190,193
9.83,0,196,183,186
10.08,0,185,213,194
10.36,197,186,217,204
10.61,2,192,202,201
10.88,1,191,192,179
11.15,0,183,186,193
11.41,0,183,184,186
11.68,188,192,176,173
11.94,152,168,151,151
12.21,62,147,161,162
12.48,1,154,146,161
